iter	Logloss
0	0.6735481455
1	0.6565751932
2	0.6408305653
3	0.6272014796
4	0.6157452782
5	0.6047607854
6	0.5954039617
7	0.5874629924
8	0.5794558311
9	0.5726994009
10	0.566523456
11	0.5611329803
12	0.5565007156
13	0.5518827162
14	0.5481072978
15	0.5441937457
16	0.5409734844
17	0.5379673407
18	0.5353568157
19	0.5329934557
20	0.5307609174
21	0.5286712304
22	0.5266935355
23	0.5248133539
24	0.5232511275
25	0.521727724
26	0.5203492464
27	0.5191075807
28	0.5178985533
29	0.5168309181
30	0.5158889533
31	0.5149978241
32	0.5139582296
33	0.5130455325
34	0.5122214572
35	0.5113843885
36	0.510718762
37	0.5099842847
38	0.5092957518
39	0.508696576
40	0.5081112928
41	0.507467996
42	0.5069738089
43	0.5065106563
44	0.5061325273
45	0.5057306639
46	0.5052388554
47	0.5048405493
48	0.5044139609
49	0.504046349
50	0.5037113055
51	0.503321023
52	0.5029803377
53	0.5026540612
54	0.5023801905
55	0.502106931
56	0.5018072205
57	0.5015802747
58	0.5013156584
59	0.5010739894
60	0.500776123
61	0.5005389467
62	0.5003083083
63	0.5000666175
64	0.4999310606
65	0.4997806709
66	0.4995710995
67	0.4994769861
68	0.4993190106
69	0.4991085812
70	0.4989024358
71	0.4987057886
72	0.4985483198
73	0.4983587075
74	0.4981968548
75	0.4980374594
76	0.4978549183
77	0.4977052645
78	0.4975611064
79	0.4974324749
80	0.4973190134
81	0.4971883156
82	0.497030958
83	0.4969133474
84	0.4967626793
85	0.4966326641
86	0.4965150421
87	0.4963895873
88	0.4962677331
89	0.496156464
90	0.4960844417
91	0.4959746164
92	0.4958447197
93	0.4957490187
94	0.4956766037
95	0.4956260631
96	0.4955171354
97	0.4953897326
98	0.495281138
99	0.4951795882
100	0.4950310536
101	0.4949553717
102	0.4948676598
103	0.4947383631
104	0.4946323168
105	0.4945579359
106	0.4944737413
107	0.4944124099
108	0.4943337632
109	0.4942288336
110	0.4941290559
111	0.4940327734
112	0.4939666328
113	0.4938617243
114	0.4937742621
115	0.4936672422
116	0.4936122838
117	0.4935496693
118	0.4934572125
119	0.4933660925
120	0.4933082508
121	0.4932300311
122	0.4931709657
123	0.4931023045
124	0.4930022323
125	0.4929400551
126	0.4928747511
127	0.4927740944
128	0.4926664911
129	0.4926048491
130	0.4925235883
131	0.4924567786
132	0.4923608623
133	0.4922797758
134	0.4921815133
135	0.492144956
136	0.4920756356
137	0.4919836432
138	0.4919203772
139	0.4918540608
140	0.4917863082
141	0.4917102775
142	0.4916157441
143	0.4915317059
144	0.4914837866
145	0.491402642
146	0.4913228626
147	0.4912667843
148	0.4912087962
149	0.4910835707
150	0.4910356855
151	0.4909988073
152	0.4908858434
153	0.4907927412
154	0.4907353668
155	0.4906638596
156	0.4906095942
157	0.4905688274
158	0.4904779739
159	0.490403831
160	0.4903231174
161	0.4902453607
162	0.4901726832
163	0.4901158678
164	0.4900329707
165	0.4899740031
166	0.4899244625
167	0.4898642096
168	0.4898143372
169	0.4897297959
170	0.4896482307
171	0.4895763121
172	0.4894962391
173	0.4894143809
174	0.4893294893
175	0.4892672287
176	0.4891920502
177	0.4891902502
178	0.4891291455
179	0.4890450076
